line_id,po_number,sku,quantity,unit_price,line_status
1,po_number_755,sku_187,46,30.670798523825564,fulfilled
2,po_number_2189,sku_75,45,32.67036499691301,open
3,po_number_563,sku_84,40,33.52209157530527,canceled
4,po_number_1776,sku_179,38,35.43918055305562,canceled
5,po_number_81,sku_131,23,47.4467257555176,open
6,po_number_255,sku_65,48,41.71905859554599,open
7,po_number_1819,sku_146,40,52.486934924904254,canceled
8,po_number_2266,sku_187,26,45.48625424442599,backorder
9,po_number_2410,sku_126,36,46.426434397743215,fulfilled
10,po_number_2693,sku_163,36,38.46743121563072,canceled
11,po_number_508,sku_24,39,51.82394614483899,canceled
12,po_number_1500,sku_63,45,55.642316623752166,canceled
13,po_number_2215,sku_160,48,55.043728990189486,open
14,po_number_987,sku_148,28,26.512549568874068,backorder
15,po_number_1712,sku_13,44,45.51049723026266,fulfilled
16,po_number_2362,sku_116,47,48.095962227859886,canceled
17,po_number_1215,sku_82,28,64.0351739053221,backorder
18,po_number_1149,sku_56,54,55.90879514918113,fulfilled
19,po_number_1953,sku_14,30,35.37859442712515,canceled
20,po_number_2100,sku_28,55,38.850002381967776,backorder
21,po_number_2908,sku_161,39,25.980305000362208,open
22,po_number_658,sku_195,41,32.52607289737347,open
23,po_number_1038,sku_119,52,28.47788616959456,canceled
24,po_number_2351,sku_190,33,58.28817526386959,canceled
25,po_number_922,sku_12,49,63.13802748406095,backorder
26,po_number_2865,sku_92,32,59.489644312327,open
27,po_number_1689,sku_108,44,30.589250196666786,fulfilled
28,po_number_2860,sku_84,40,23.481722506768694,backorder
29,po_number_1717,sku_150,52,48.579205050387806,open
30,po_number_150,sku_74,25,28.623471663120657,open
31,po_number_1815,sku_43,48,53.84577023792387,canceled
32,po_number_1457,sku_76,41,43.658569823868476,backorder
33,po_number_2769,sku_6,33,34.63216134143921,fulfilled
34,po_number_2073,sku_147,37,43.94530760884491,fulfilled
35,po_number_242,sku_78,43,62.20162311703326,canceled
36,po_number_2131,sku_127,52,51.28150973026336,backorder
37,po_number_204,sku_150,42,42.992485669263125,open
38,po_number_2434,sku_132,48,49.3825364125199,backorder
39,po_number_932,sku_197,48,54.025456964305576,fulfilled
40,po_number_895,sku_97,37,53.01390576622367,fulfilled
41,po_number_2688,sku_121,32,35.642794547310615,canceled
42,po_number_1698,sku_144,42,38.4444632705198,backorder
43,po_number_2111,sku_76,40,30.376143007282,backorder
44,po_number_2316,sku_145,48,50.20296069283469,backorder
45,po_number_1357,sku_106,52,35.91117059037518,fulfilled
46,po_number_910,sku_153,37,32.39784982279338,open
47,po_number_1136,sku_73,40,40.354100445267285,backorder
48,po_number_1052,sku_73,40,50.76509840921855,fulfilled
49,po_number_1017,sku_64,52,45.34083362556069,fulfilled
50,po_number_1190,sku_200,49,46.534775393154455,backorder
51,po_number_1402,sku_193,22,45.03895015666145,canceled
52,po_number_2367,sku_140,31,27.558830388416315,backorder
53,po_number_535,sku_150,53,49.29782644574253,canceled
54,po_number_301,sku_138,56,30.167426199797564,fulfilled
55,po_number_2289,sku_61,40,43.71401326643475,canceled
56,po_number_1199,sku_36,46,40.03116075346125,fulfilled
57,po_number_1011,sku_79,40,47.799564891801076,fulfilled
58,po_number_132,sku_38,43,31.30400740169572,open
59,po_number_420,sku_42,39,46.50083856447637,fulfilled
60,po_number_1022,sku_106,35,43.357973686849824,open
61,po_number_966,sku_83,34,44.04010116098145,open
62,po_number_1444,sku_11,28,51.572237824319515,canceled
63,po_number_1178,sku_137,37,37.52887996696848,canceled
64,po_number_1533,sku_60,44,52.80276606731136,backorder
65,po_number_578,sku_40,22,44.65327037957681,fulfilled
66,po_number_533,sku_19,50,44.83855087979023,fulfilled
67,po_number_1711,sku_121,54,44.88054327975257,fulfilled
68,po_number_1126,sku_190,21,56.08050598843981,fulfilled
69,po_number_678,sku_123,26,43.92191417225951,open
70,po_number_2954,sku_70,41,44.85859255721338,fulfilled
71,po_number_1904,sku_168,28,29.16922291356439,fulfilled
72,po_number_1675,sku_154,46,33.868909433218164,open
73,po_number_821,sku_57,38,59.72809498373993,fulfilled
74,po_number_1909,sku_183,39,53.6538031869556,fulfilled
75,po_number_1412,sku_156,29,42.29073481885564,backorder
76,po_number_2000,sku_87,26,52.83581967509321,fulfilled
77,po_number_811,sku_85,21,30.514900225820664,backorder
78,po_number_762,sku_19,45,59.27357300185051,backorder
79,po_number_821,sku_70,27,43.930514582326396,backorder
80,po_number_2359,sku_65,36,61.58856548301987,fulfilled
81,po_number_1731,sku_3,30,48.974746877468164,canceled
82,po_number_1744,sku_176,30,49.867686306886384,backorder
83,po_number_848,sku_134,28,32.09367848576205,fulfilled
84,po_number_73,sku_158,52,44.65545773929025,backorder
85,po_number_198,sku_25,23,36.12468929448279,fulfilled
86,po_number_1721,sku_84,56,40.034773937114274,fulfilled
87,po_number_1139,sku_175,47,53.26459886171814,fulfilled
88,po_number_631,sku_151,38,56.214708145856896,backorder
89,po_number_1745,sku_80,29,39.69967638975699,backorder
90,po_number_1177,sku_35,33,47.01103650032401,backorder
91,po_number_205,sku_174,27,57.537313082985094,backorder
92,po_number_1520,sku_57,56,50.88237773337352,fulfilled
93,po_number_2760,sku_75,33,55.30841206875184,canceled
