id,name,category
100,drop,spares
101,ab,assemblies
102,degree,finished_goods
103,admit,spares
104,a,spares
105,debitis,spares
106,may,assemblies
107,tempore,raw_materials
108,home,raw_materials
109,animi,spares
110,aliquid,spares
111,necessitatibus,raw_materials
112,totam,assemblies
113,quae,raw_materials
114,ipsa,raw_materials
115,capital,spares
116,claim,spares
117,assumenda,finished_goods
118,eveniet,finished_goods
119,quos,finished_goods
120,medical,raw_materials
121,eveniet,assemblies
122,everyone,raw_materials
123,husband,raw_materials
124,odit,raw_materials
125,center,raw_materials
126,election,assemblies
127,four,spares
128,scene,assemblies
129,home,assemblies
130,security,finished_goods
131,beatae,assemblies
132,reveal,spares
133,nihil,assemblies
134,again,assemblies
135,nam,raw_materials
136,inventore,assemblies
137,manage,raw_materials
138,environment,finished_goods
139,play,assemblies
140,bank,spares
141,the,raw_materials
142,east,assemblies
143,behavior,assemblies
144,rerum,raw_materials
145,so,assemblies
146,here,assemblies
147,similique,finished_goods
148,behavior,finished_goods
149,price,finished_goods
150,provident,assemblies
151,force,spares
152,go,raw_materials
153,seat,assemblies
154,song,assemblies
155,stuff,raw_materials
156,ipsa,assemblies
157,nobis,raw_materials
158,vitae,spares
159,fight,finished_goods
