po_number,supplier_id,warehouse_id,order_ts,status
po_number_1,2068,warehouse_id_24,2020-03-11T01:58:20,closed
po_number_2,2040,warehouse_id_29,2020-09-12T04:01:00,approved
po_number_3,2065,warehouse_id_52,2020-05-30T02:43:30,in_transit
po_number_4,2075,warehouse_id_45,2020-12-16T07:07:37,closed
po_number_5,2063,warehouse_id_71,2020-04-20T02:28:48,received
po_number_6,2013,warehouse_id_52,2020-09-14T11:38:01,closed
po_number_7,2068,warehouse_id_1,2020-08-30T19:46:45,approved
po_number_8,2040,warehouse_id_63,2020-12-10T14:24:28,draft
po_number_9,2010,warehouse_id_63,2020-03-29T20:36:53,in_transit
po_number_10,2042,warehouse_id_47,2020-05-25T08:56:55,draft
po_number_11,2100,warehouse_id_31,2020-12-06T00:39:34,closed
po_number_12,2061,warehouse_id_15,2020-09-17T20:39:08,draft
po_number_13,2066,warehouse_id_58,2020-01-21T04:44:19,in_transit
po_number_14,2011,warehouse_id_51,2020-11-17T10:54:51,approved
po_number_15,2117,warehouse_id_32,2020-01-02T10:11:53,in_transit
po_number_16,2053,warehouse_id_41,2020-11-26T17:38:03,closed
po_number_17,2007,warehouse_id_67,2020-11-28T04:53:32,received
po_number_18,2001,warehouse_id_69,2020-12-29T14:57:07,closed
po_number_19,2049,warehouse_id_54,2020-04-23T08:13:09,received
po_number_20,2099,warehouse_id_18,2020-12-16T04:52:17,in_transit
po_number_21,2073,warehouse_id_39,2020-01-10T14:49:59,received
po_number_22,2009,warehouse_id_17,2020-01-29T12:58:16,in_transit
po_number_23,2071,warehouse_id_63,2020-12-28T05:04:40,received
po_number_24,2089,warehouse_id_52,2020-04-24T11:55:27,draft
po_number_25,2060,warehouse_id_21,2020-01-12T09:13:52,received
po_number_26,2019,warehouse_id_20,2020-03-04T00:14:06,in_transit
po_number_27,2045,warehouse_id_70,2020-04-23T01:15:28,approved
po_number_28,2040,warehouse_id_12,2020-10-19T15:22:18,in_transit
po_number_29,2046,warehouse_id_45,2020-09-20T03:42:46,draft
po_number_30,2115,warehouse_id_25,2020-12-02T03:11:08,draft
po_number_31,2076,warehouse_id_29,2020-07-29T10:39:20,in_transit
po_number_32,2032,warehouse_id_37,2020-05-17T19:17:04,received
po_number_33,2069,warehouse_id_1,2020-06-10T12:28:40,draft
po_number_34,2103,warehouse_id_10,2020-09-20T14:33:36,received
po_number_35,2002,warehouse_id_47,2020-12-10T02:35:30,approved
po_number_36,2107,warehouse_id_29,2020-08-23T19:05:01,in_transit
po_number_37,2005,warehouse_id_5,2020-06-13T01:44:49,approved
po_number_38,2017,warehouse_id_42,2020-07-27T20:55:23,draft
po_number_39,2006,warehouse_id_80,2020-12-29T07:45:30,draft
po_number_40,2032,warehouse_id_52,2020-11-21T13:47:10,closed
po_number_41,2089,warehouse_id_32,2020-11-22T02:05:46,closed
po_number_42,2105,warehouse_id_74,2020-05-17T15:52:44,received
po_number_43,2020,warehouse_id_19,2020-03-02T17:13:49,received
po_number_44,2061,warehouse_id_61,2020-03-31T00:04:38,closed
po_number_45,2025,warehouse_id_65,2020-07-01T05:52:59,approved
po_number_46,2091,warehouse_id_1,2020-06-06T10:47:31,closed
po_number_47,2026,warehouse_id_52,2020-05-12T11:53:24,closed
po_number_48,2032,warehouse_id_68,2020-12-17T09:24:15,in_transit
po_number_49,2025,warehouse_id_32,2020-07-24T20:23:45,draft
po_number_50,2038,warehouse_id_6,2020-06-03T16:16:45,received
po_number_51,2016,warehouse_id_77,2020-09-23T03:07:00,received
po_number_52,2064,warehouse_id_24,2020-11-11T22:52:05,received
po_number_53,2061,warehouse_id_54,2020-08-02T16:11:46,in_transit
po_number_54,2069,warehouse_id_61,2020-11-08T00:07:14,draft
po_number_55,2087,warehouse_id_18,2020-04-01T19:12:00,closed
po_number_56,2085,warehouse_id_63,2020-04-17T06:09:24,draft
po_number_57,2022,warehouse_id_71,2020-02-24T05:28:33,closed
po_number_58,2070,warehouse_id_9,2020-06-17T11:44:11,in_transit
po_number_59,2047,warehouse_id_7,2020-02-20T05:17:58,received
po_number_60,2042,warehouse_id_57,2020-11-04T21:13:21,approved
po_number_61,2004,warehouse_id_8,2020-09-24T18:41:29,approved
po_number_62,2109,warehouse_id_12,2020-02-11T12:11:49,in_transit
po_number_63,2065,warehouse_id_47,2020-12-09T13:01:52,approved
po_number_64,2116,warehouse_id_77,2020-08-22T06:34:21,draft
po_number_65,2062,warehouse_id_51,2020-01-16T23:33:45,approved
po_number_66,2000,warehouse_id_44,2020-09-01T00:22:19,closed
po_number_67,2064,warehouse_id_65,2020-09-01T19:43:16,closed
po_number_68,2115,warehouse_id_3,2020-12-27T21:24:57,in_transit
po_number_69,2083,warehouse_id_2,2020-01-18T08:34:00,approved
po_number_70,2032,warehouse_id_39,2020-07-11T16:27:34,closed
po_number_71,2073,warehouse_id_58,2020-12-25T15:22:04,draft
po_number_72,2100,warehouse_id_60,2020-04-28T21:00:30,in_transit
po_number_73,2036,warehouse_id_59,2020-07-11T05:19:16,draft
po_number_74,2097,warehouse_id_8,2020-07-14T06:46:37,received
po_number_75,2049,warehouse_id_6,2020-12-06T11:17:22,closed
po_number_76,2034,warehouse_id_76,2020-10-06T12:32:40,in_transit
po_number_77,2043,warehouse_id_61,2020-07-03T22:33:23,received
po_number_78,2006,warehouse_id_69,2020-10-23T01:11:19,approved
po_number_79,2092,warehouse_id_28,2020-08-22T14:10:24,received
po_number_80,2050,warehouse_id_15,2020-06-02T00:15:26,received
po_number_81,2006,warehouse_id_4,2020-09-07T11:20:25,approved
po_number_82,2010,warehouse_id_80,2020-07-02T00:02:25,closed
po_number_83,2032,warehouse_id_69,2020-01-21T00:45:00,in_transit
po_number_84,2103,warehouse_id_1,2020-02-05T17:58:42,approved
po_number_85,2081,warehouse_id_13,2020-02-07T18:59:26,received
po_number_86,2107,warehouse_id_66,2020-05-13T11:24:23,received
po_number_87,2033,warehouse_id_43,2020-04-13T09:22:17,approved
po_number_88,2041,warehouse_id_62,2020-10-05T17:46:01,approved
po_number_89,2116,warehouse_id_36,2020-11-25T21:56:14,draft
po_number_90,2093,warehouse_id_9,2020-01-17T04:19:25,received
po_number_91,2093,warehouse_id_37,2020-05-15T04:38:58,closed
po_number_92,2090,warehouse_id_45,2020-04-15T10:39:43,closed
po_number_93,2103,warehouse_id_68,2020-02-02T23:47:29,draft
po_number_94,2001,warehouse_id_17,2020-07-24T17:30:39,approved
po_number_95,2082,warehouse_id_43,2020-08-23T06:41:55,draft
po_number_96,2064,warehouse_id_73,2020-03-10T18:05:35,approved
po_number_97,2093,warehouse_id_55,2020-07-10T11:19:32,draft
po_number_98,2027,warehouse_id_46,2020-06-04T05:30:42,received
po_number_99,2090,warehouse_id_9,2020-03-19T14:09:31,draft
po_number_100,2055,warehouse_id_67,2020-06-12T22:41:09,draft
po_number_101,2073,warehouse_id_12,2020-10-01T04:42:45,draft
po_number_102,2092,warehouse_id_1,2020-07-12T05:25:13,closed
po_number_103,2030,warehouse_id_69,2020-05-17T16:07:51,approved
po_number_104,2114,warehouse_id_7,2020-11-02T17:07:37,draft
po_number_105,2046,warehouse_id_4,2020-02-22T03:28:59,in_transit
po_number_106,2010,warehouse_id_52,2020-01-07T13:44:42,closed
po_number_107,2095,warehouse_id_67,2020-08-16T19:03:53,approved
po_number_108,2054,warehouse_id_56,2020-03-01T23:20:07,draft
po_number_109,2041,warehouse_id_64,2020-09-04T15:54:39,in_transit
po_number_110,2047,warehouse_id_73,2020-12-27T10:20:21,in_transit
po_number_111,2091,warehouse_id_74,2020-02-23T16:15:33,received
po_number_112,2088,warehouse_id_11,2020-01-30T02:08:01,closed
po_number_113,2020,warehouse_id_72,2020-02-19T04:51:03,in_transit
po_number_114,2014,warehouse_id_66,2020-08-27T14:50:27,received
po_number_115,2024,warehouse_id_72,2020-12-14T08:24:41,received
po_number_116,2019,warehouse_id_28,2020-03-06T23:07:07,in_transit
po_number_117,2076,warehouse_id_4,2020-09-07T05:25:06,approved
po_number_118,2014,warehouse_id_14,2020-03-30T09:36:24,in_transit
po_number_119,2042,warehouse_id_68,2020-06-17T18:51:30,in_transit
po_number_120,2002,warehouse_id_19,2020-04-06T23:00:46,approved
po_number_121,2025,warehouse_id_12,2020-03-23T22:07:18,closed
po_number_122,2111,warehouse_id_47,2020-12-16T01:21:38,draft
po_number_123,2108,warehouse_id_66,2020-12-04T17:51:46,received
po_number_124,2067,warehouse_id_53,2020-08-27T15:32:03,approved
po_number_125,2110,warehouse_id_17,2020-12-12T06:55:08,received
po_number_126,2053,warehouse_id_44,2020-01-09T13:35:44,received
po_number_127,2044,warehouse_id_44,2020-12-17T20:29:01,received
po_number_128,2011,warehouse_id_56,2020-09-02T07:41:29,received
po_number_129,2005,warehouse_id_58,2020-08-27T03:07:23,in_transit
po_number_130,2114,warehouse_id_16,2020-05-26T01:23:59,draft
po_number_131,2089,warehouse_id_50,2020-11-01T10:03:50,closed
po_number_132,2008,warehouse_id_52,2020-02-18T10:43:06,draft
po_number_133,2057,warehouse_id_41,2020-01-20T06:34:29,received
po_number_134,2013,warehouse_id_46,2020-03-22T16:05:57,closed
po_number_135,2079,warehouse_id_59,2020-01-10T04:47:42,in_transit
po_number_136,2011,warehouse_id_72,2020-08-17T14:25:37,closed
po_number_137,2002,warehouse_id_9,2020-11-28T11:32:00,closed
po_number_138,2093,warehouse_id_42,2020-02-09T13:21:26,closed
po_number_139,2035,warehouse_id_27,2020-05-13T08:25:55,received
po_number_140,2052,warehouse_id_55,2020-07-06T13:21:31,received
po_number_141,2014,warehouse_id_20,2020-07-27T01:27:07,in_transit
po_number_142,2040,warehouse_id_59,2020-02-18T09:36:10,in_transit
po_number_143,2005,warehouse_id_75,2020-02-12T11:01:10,draft
po_number_144,2118,warehouse_id_12,2020-06-03T07:37:26,approved
po_number_145,2072,warehouse_id_65,2020-01-16T09:13:47,in_transit
po_number_146,2034,warehouse_id_73,2020-09-13T00:51:49,in_transit
po_number_147,2104,warehouse_id_55,2020-03-18T16:09:52,approved
po_number_148,2051,warehouse_id_27,2020-04-17T14:18:05,closed
po_number_149,2059,warehouse_id_23,2020-02-25T18:23:18,received
po_number_150,2074,warehouse_id_30,2020-02-04T20:34:40,approved
po_number_151,2111,warehouse_id_31,2020-01-06T20:43:33,draft
po_number_152,2065,warehouse_id_26,2020-02-15T23:07:02,received
po_number_153,2032,warehouse_id_70,2020-12-27T13:22:41,approved
po_number_154,2057,warehouse_id_58,2020-07-01T13:38:28,closed
po_number_155,2000,warehouse_id_41,2020-12-19T03:12:42,closed
po_number_156,2104,warehouse_id_15,2020-01-30T00:55:46,received
po_number_157,2015,warehouse_id_33,2020-11-08T11:36:01,approved
po_number_158,2107,warehouse_id_70,2020-09-26T03:29:59,approved
po_number_159,2063,warehouse_id_8,2020-11-09T22:24:38,approved
po_number_160,2116,warehouse_id_62,2020-07-26T01:20:42,in_transit
po_number_161,2095,warehouse_id_61,2020-10-09T14:15:03,closed
po_number_162,2106,warehouse_id_34,2020-04-27T18:30:35,closed
po_number_163,2071,warehouse_id_10,2020-05-06T10:37:57,in_transit
po_number_164,2033,warehouse_id_51,2020-04-19T17:30:09,in_transit
po_number_165,2096,warehouse_id_23,2020-03-18T00:26:39,in_transit
po_number_166,2101,warehouse_id_47,2020-10-09T01:13:09,in_transit
po_number_167,2098,warehouse_id_52,2020-04-26T07:28:37,draft
po_number_168,2118,warehouse_id_22,2020-05-25T03:46:02,closed
