level_id,warehouse_id,sku,on_hand,reorder_point,last_count_ts
1,warehouse_id_7,sku_184,113,91,2020-06-03T09:13:29
2,warehouse_id_47,sku_28,105,47,2020-09-26T13:01:50
3,warehouse_id_78,sku_171,128,75,2020-12-28T19:50:03
4,warehouse_id_40,sku_49,114,71,2020-02-02T20:05:24
5,warehouse_id_69,sku_33,122,75,2020-07-20T21:48:03
6,warehouse_id_8,sku_104,153,83,2020-09-20T15:42:11
7,warehouse_id_6,sku_175,62,66,2020-08-27T00:36:07
8,warehouse_id_17,sku_33,84,78,2020-08-26T10:00:25
9,warehouse_id_70,sku_47,82,93,2020-01-12T16:57:57
10,warehouse_id_45,sku_190,104,64,2020-06-01T03:20:25
11,warehouse_id_59,sku_118,125,73,2020-04-01T13:34:39
12,warehouse_id_65,sku_32,160,83,2020-11-18T07:46:48
13,warehouse_id_39,sku_66,103,77,2020-05-29T22:00:46
14,warehouse_id_12,sku_101,114,66,2020-08-22T02:03:25
15,warehouse_id_63,sku_140,175,103,2020-10-03T02:47:22
16,warehouse_id_29,sku_75,162,68,2020-08-17T07:16:00
17,warehouse_id_74,sku_114,100,111,2020-03-11T11:00:34
18,warehouse_id_53,sku_180,113,104,2020-02-17T22:43:59
19,warehouse_id_51,sku_195,110,58,2020-06-20T02:53:49
20,warehouse_id_54,sku_111,107,80,2020-01-08T06:32:30
21,warehouse_id_69,sku_107,182,84,2020-05-16T02:18:45
22,warehouse_id_25,sku_183,139,94,2020-11-21T21:37:51
23,warehouse_id_17,sku_174,158,84,2020-10-04T17:49:07
24,warehouse_id_47,sku_22,143,93,2020-07-08T17:57:03
25,warehouse_id_40,sku_157,139,101,2020-10-31T18:56:48
26,warehouse_id_63,sku_192,115,85,2020-08-06T06:03:06
27,warehouse_id_47,sku_89,145,78,2020-03-12T00:14:45
28,warehouse_id_57,sku_56,90,74,2020-05-08T10:00:31
29,warehouse_id_67,sku_108,182,70,2020-03-20T21:33:27
30,warehouse_id_42,sku_18,95,107,2020-05-16T16:02:47
31,warehouse_id_55,sku_47,129,79,2020-06-17T18:21:05
32,warehouse_id_21,sku_89,139,88,2020-09-23T05:03:14
33,warehouse_id_36,sku_196,100,83,2020-03-13T22:17:28
34,warehouse_id_24,sku_48,159,88,2020-10-25T17:08:07
35,warehouse_id_57,sku_68,114,98,2020-05-23T21:28:04
36,warehouse_id_65,sku_199,138,85,2020-12-08T01:34:24
37,warehouse_id_33,sku_39,153,84,2020-07-08T18:34:29
38,warehouse_id_62,sku_24,83,72,2020-04-02T15:31:50
39,warehouse_id_63,sku_53,160,95,2020-03-02T15:08:36
40,warehouse_id_1,sku_67,116,80,2020-07-27T09:40:06
41,warehouse_id_12,sku_182,108,109,2020-11-19T06:52:55
42,warehouse_id_58,sku_85,120,79,2020-03-19T22:04:48
43,warehouse_id_69,sku_32,103,75,2020-11-07T03:18:12
44,warehouse_id_39,sku_123,125,74,2020-04-21T01:04:50
45,warehouse_id_16,sku_194,169,60,2020-10-16T22:38:06
46,warehouse_id_2,sku_34,129,94,2020-01-19T22:44:33
47,warehouse_id_34,sku_49,130,86,2020-11-01T03:13:24
48,warehouse_id_10,sku_171,79,70,2020-05-27T10:47:01
49,warehouse_id_21,sku_43,141,96,2020-10-23T21:27:21
50,warehouse_id_56,sku_60,140,97,2020-06-01T00:34:02
51,warehouse_id_21,sku_66,128,94,2020-11-30T02:55:11
52,warehouse_id_37,sku_53,73,107,2020-11-03T08:20:54
53,warehouse_id_71,sku_18,100,81,2020-08-15T19:03:02
54,warehouse_id_7,sku_75,81,79,2020-05-11T09:34:44
55,warehouse_id_25,sku_32,143,89,2020-07-18T03:42:18
56,warehouse_id_37,sku_59,126,87,2020-03-15T16:21:03
57,warehouse_id_68,sku_116,113,83,2020-07-18T18:06:41
58,warehouse_id_32,sku_103,91,72,2020-09-03T21:03:03
59,warehouse_id_54,sku_115,162,98,2020-04-15T21:15:43
60,warehouse_id_40,sku_173,131,103,2020-05-18T16:29:57
61,warehouse_id_38,sku_119,84,75,2020-12-04T02:36:17
62,warehouse_id_28,sku_192,117,102,2020-12-07T05:12:35
63,warehouse_id_56,sku_162,125,77,2020-07-01T10:13:09
64,warehouse_id_9,sku_1,90,85,2020-07-07T02:01:30
65,warehouse_id_6,sku_91,136,88,2020-03-09T04:52:52
