work_order_id,sku,warehouse_id,scheduled_ts,priority,planned_quantity
work_order_id_1,sku_144,warehouse_id_18,2020-04-24T13:01:22,low,33
work_order_id_2,sku_109,warehouse_id_44,2020-09-30T18:43:18,medium,23
work_order_id_3,sku_123,warehouse_id_38,2020-08-02T08:45:54,low,28
work_order_id_4,sku_6,warehouse_id_65,2020-02-28T16:48:14,high,29
work_order_id_5,sku_1,warehouse_id_5,2020-02-07T01:35:59,medium,20
work_order_id_6,sku_147,warehouse_id_15,2020-08-25T13:42:46,high,17
work_order_id_7,sku_84,warehouse_id_7,2020-02-18T07:30:12,critical,36
work_order_id_8,sku_52,warehouse_id_59,2020-11-14T20:51:19,low,25
work_order_id_9,sku_48,warehouse_id_14,2020-02-04T02:46:10,critical,27
work_order_id_10,sku_112,warehouse_id_5,2020-12-09T20:47:35,low,11
work_order_id_11,sku_190,warehouse_id_71,2020-07-29T10:19:21,high,35
work_order_id_12,sku_104,warehouse_id_3,2020-11-05T12:15:55,medium,26
work_order_id_13,sku_23,warehouse_id_67,2020-10-11T07:11:09,low,26
work_order_id_14,sku_155,warehouse_id_20,2020-04-15T01:09:57,critical,30
work_order_id_15,sku_139,warehouse_id_56,2020-05-07T07:01:55,high,19
work_order_id_16,sku_49,warehouse_id_52,2020-01-05T17:54:26,critical,16
work_order_id_17,sku_200,warehouse_id_21,2020-01-28T19:31:51,high,22
work_order_id_18,sku_10,warehouse_id_26,2020-12-13T01:59:06,low,28
work_order_id_19,sku_159,warehouse_id_73,2020-12-28T07:24:37,critical,24
work_order_id_20,sku_24,warehouse_id_11,2020-11-02T09:10:25,medium,21
work_order_id_21,sku_29,warehouse_id_2,2020-03-23T02:55:08,medium,27
work_order_id_22,sku_28,warehouse_id_54,2020-11-03T20:24:18,critical,39
work_order_id_23,sku_82,warehouse_id_77,2020-05-19T04:41:31,low,25
work_order_id_24,sku_25,warehouse_id_39,2020-02-14T16:59:43,high,19
work_order_id_25,sku_132,warehouse_id_9,2020-12-22T08:13:47,critical,24
work_order_id_26,sku_139,warehouse_id_41,2020-01-01T17:10:23,low,28
work_order_id_27,sku_82,warehouse_id_60,2020-08-20T02:37:56,medium,23
work_order_id_28,sku_28,warehouse_id_3,2020-12-09T04:34:50,high,13
work_order_id_29,sku_20,warehouse_id_70,2020-06-03T07:37:41,critical,24
work_order_id_30,sku_135,warehouse_id_11,2020-07-03T01:10:06,high,26
work_order_id_31,sku_28,warehouse_id_27,2020-05-22T09:29:53,medium,15
work_order_id_32,sku_57,warehouse_id_30,2020-07-21T07:10:07,high,27
work_order_id_33,sku_118,warehouse_id_49,2020-11-20T07:32:45,critical,25
work_order_id_34,sku_185,warehouse_id_5,2020-08-22T18:44:55,critical,16
work_order_id_35,sku_3,warehouse_id_18,2020-04-08T04:04:12,high,20
work_order_id_36,sku_158,warehouse_id_9,2020-01-05T08:50:36,medium,22
work_order_id_37,sku_159,warehouse_id_77,2020-10-11T05:35:18,medium,31
work_order_id_38,sku_64,warehouse_id_77,2020-06-05T18:55:26,high,31
work_order_id_39,sku_30,warehouse_id_66,2020-09-01T08:45:41,medium,37
work_order_id_40,sku_3,warehouse_id_26,2020-03-03T13:21:50,high,23
work_order_id_41,sku_161,warehouse_id_20,2020-06-14T13:36:50,medium,23
work_order_id_42,sku_181,warehouse_id_77,2020-11-18T10:19:48,high,28
work_order_id_43,sku_108,warehouse_id_61,2020-01-18T17:14:19,critical,28
work_order_id_44,sku_84,warehouse_id_53,2020-05-23T13:24:41,low,23
work_order_id_45,sku_167,warehouse_id_25,2020-11-04T00:02:39,high,19
work_order_id_46,sku_113,warehouse_id_41,2020-08-16T20:25:28,high,30
work_order_id_47,sku_77,warehouse_id_57,2020-08-21T21:41:40,high,20
work_order_id_48,sku_126,warehouse_id_66,2020-09-21T04:26:50,high,25
work_order_id_49,sku_13,warehouse_id_11,2020-01-25T03:11:31,medium,28
work_order_id_50,sku_198,warehouse_id_57,2020-10-26T20:23:33,low,28
work_order_id_51,sku_58,warehouse_id_30,2020-11-19T15:42:53,medium,29
work_order_id_52,sku_182,warehouse_id_10,2020-07-23T19:20:34,medium,32
work_order_id_53,sku_48,warehouse_id_79,2020-09-19T05:49:34,high,26
work_order_id_54,sku_30,warehouse_id_65,2020-05-14T05:44:24,critical,19
work_order_id_55,sku_126,warehouse_id_68,2020-11-05T06:14:55,low,35
work_order_id_56,sku_72,warehouse_id_2,2020-05-24T20:34:33,medium,19
work_order_id_57,sku_162,warehouse_id_79,2020-05-08T23:09:47,critical,24
work_order_id_58,sku_170,warehouse_id_61,2020-05-15T21:22:20,low,24
work_order_id_59,sku_123,warehouse_id_46,2020-09-09T08:56:16,critical,19
work_order_id_60,sku_57,warehouse_id_14,2020-06-03T02:57:47,critical,28
work_order_id_61,sku_35,warehouse_id_37,2020-02-29T20:30:18,medium,29
work_order_id_62,sku_178,warehouse_id_43,2020-11-04T07:40:04,low,26
work_order_id_63,sku_17,warehouse_id_23,2020-12-14T14:30:39,high,27
work_order_id_64,sku_90,warehouse_id_66,2020-10-10T04:50:23,critical,27
work_order_id_65,sku_115,warehouse_id_68,2020-03-16T06:06:07,low,21
work_order_id_66,sku_139,warehouse_id_26,2020-02-22T03:48:51,critical,16
work_order_id_67,sku_147,warehouse_id_37,2020-01-04T02:52:59,low,26
work_order_id_68,sku_177,warehouse_id_33,2020-03-23T08:07:42,high,19
work_order_id_69,sku_156,warehouse_id_35,2020-05-16T08:26:25,critical,26
work_order_id_70,sku_66,warehouse_id_58,2020-01-14T15:34:20,medium,27
work_order_id_71,sku_175,warehouse_id_36,2020-02-08T18:54:01,low,31
work_order_id_72,sku_113,warehouse_id_46,2020-05-17T07:17:10,critical,22
work_order_id_73,sku_75,warehouse_id_3,2020-02-13T03:58:49,critical,18
work_order_id_74,sku_28,warehouse_id_18,2020-04-02T00:16:17,low,16
work_order_id_75,sku_128,warehouse_id_74,2020-12-11T22:38:33,high,29
work_order_id_76,sku_181,warehouse_id_63,2020-04-18T17:03:36,high,29
work_order_id_77,sku_46,warehouse_id_9,2020-08-16T13:26:34,low,37
work_order_id_78,sku_194,warehouse_id_79,2020-08-15T12:48:07,high,31
work_order_id_79,sku_185,warehouse_id_57,2020-09-01T23:03:04,low,20
work_order_id_80,sku_135,warehouse_id_23,2020-12-25T13:12:37,low,22
work_order_id_81,sku_161,warehouse_id_14,2020-11-25T21:03:36,critical,23
