performance_id,ad_id,channel_id,event_ts,impressions,clicks,spend,conversions,revenue
1000000,100147,5,2020-11-16T06:49:23,224,676,98.54927602546073,402,528.3806965730931
1000001,100141,6,2020-08-20T08:01:34,21,185,100.68942848248281,255,246.48448473760064
1000002,100073,6,2020-10-30T21:42:55,479,835,103.1998725548797,63,65.86192292371773
1000003,100149,3,2020-05-19T14:02:30,874,931,103.49411703644466,158,415.38290019564005
1000004,100053,2,2020-10-15T08:39:46,0,186,100.78981273539449,715,549.7651882445346
1000005,100034,3,2020-06-06T20:27:29,673,81,100.90304737831468,754,68.98431956091532
1000006,100118,6,2020-12-22T17:58:25,110,627,100.1841560178779,720,960.0245353518151
1000007,100174,6,2020-01-21T05:56:36,610,177,100.88645252245095,739,370.24875551222436
1000008,100121,3,2020-02-20T07:39:07,772,773,100.44792707170296,442,205.84773631114572
1000009,100064,2,2020-04-08T14:34:19,178,317,98.53807862039504,717,894.183696003734
1000010,100082,1,2020-12-03T20:58:44,314,340,98.21793440802054,782,446.30272504899085
1000011,100027,1,2020-11-17T03:06:22,522,960,102.17484254297086,891,104.38969630404694
1000012,100095,1,2020-10-26T19:13:33,540,981,99.3280375424484,240,505.24824813072377
1000013,100060,2,2020-12-14T09:52:02,180,798,100.43560961014711,731,488.9899141261359
1000014,100076,4,2020-06-23T14:16:58,56,215,101.85370102780074,240,64.0366403373851
1000015,100194,3,2020-10-24T09:57:43,503,160,100.50914778919385,961,956.6290710365319
1000016,100037,4,2020-03-19T04:09:08,925,978,102.7852288095712,345,716.1288284713953
1000017,100164,2,2020-02-20T19:11:01,560,586,98.0924592681341,255,525.2993906347123
1000018,100045,4,2020-05-26T00:24:13,868,976,100.12871717143216,754,493.53527129444694
1000019,100142,6,2020-08-02T06:00:59,933,780,101.89496305725602,190,114.78482749334329
1000020,100077,5,2020-08-01T02:18:31,221,234,101.49629484664463,557,689.9487642727804
1000021,100197,3,2020-06-07T10:10:30,977,199,98.05482116917696,892,125.4211905317385
1000022,100126,2,2020-10-20T07:42:41,407,597,96.1314011482944,338,850.1104402970412
1000023,100055,2,2020-05-20T22:55:39,512,125,101.36171236755216,780,402.99895894627605
1000024,100117,6,2020-06-23T16:00:48,551,147,101.64352840798661,51,935.7745453702854
1000025,100025,1,2020-11-22T04:10:23,489,728,101.40266939115655,503,615.9282020337271
1000026,100133,2,2020-02-16T06:45:17,691,190,98.45809483200759,877,776.3011968107265
1000027,100173,2,2020-08-10T20:09:18,42,401,101.6563433477789,951,639.6207124122341
1000028,100172,4,2020-05-17T13:40:43,805,868,100.03619341152253,823,295.6308205491032
1000029,100136,6,2020-03-02T18:19:17,412,587,98.3485887589604,346,31.990255622421635
1000030,100182,4,2020-08-13T15:47:58,719,116,100.33631553575434,130,801.6402816391087
1000031,100105,4,2020-03-21T14:15:56,67,780,97.1763875465515,905,252.87975519632167
1000032,100074,2,2020-01-29T22:09:09,289,700,100.75533405860625,636,45.403572900250985
1000033,100028,6,2020-05-13T21:34:27,41,379,96.7144492696915,239,351.3206896001456
1000034,100059,3,2020-11-20T05:49:20,905,468,102.05842766538663,432,54.99357704008479
1000035,100092,4,2020-06-16T11:33:31,947,81,102.89186028275917,812,441.5151821305245
1000036,100167,1,2020-04-24T03:21:08,318,404,97.09012781200892,575,80.47992427636008
1000037,100078,5,2020-02-16T14:45:22,650,741,100.18572166700208,553,744.493194464497
1000038,100149,6,2020-08-17T23:59:59,726,899,99.90134291221952,529,321.80605020355523
1000039,100085,3,2020-01-11T19:57:56,145,466,98.02489588065473,262,819.9153506080778
1000040,100077,4,2020-05-08T23:07:29,876,582,99.1238325567895,556,368.34429027389683
1000041,100116,2,2020-01-16T00:58:32,683,573,99.00180574253451,20,28.728975914222744
1000042,100094,4,2020-09-02T22:55:33,705,20,99.84363243681173,676,929.4307562942852
1000043,100045,2,2020-06-05T12:10:07,562,98,102.09315026910166,51,120.49603040684964
1000044,100125,1,2020-08-15T17:32:35,207,539,102.97867378452467,315,678.3399348809264
1000045,100050,4,2020-03-11T00:24:52,293,630,96.59607407791266,309,902.2330949967676
1000046,100131,6,2020-01-23T20:24:40,823,306,99.51742101178552,629,824.5733903619873
1000047,100087,6,2020-07-16T04:24:31,633,803,100.63677356918286,462,830.762769407454
1000048,100104,1,2020-03-26T14:54:47,113,646,98.02968056161741,667,559.6458032633955
1000049,100072,6,2020-02-21T21:47:25,878,699,102.25280326960694,863,498.9717157762513
1000050,100188,2,2020-08-27T10:07:02,753,320,103.05365118387681,50,602.1569799192786
1000051,100088,1,2020-10-14T10:27:28,30,646,101.99392332196355,299,257.46398508816225
1000052,100090,2,2020-12-17T03:58:42,68,338,101.87210287319591,750,156.243702052971
1000053,100072,1,2020-06-25T06:50:52,161,122,99.75967973826236,752,275.4403448534336
1000054,100100,5,2020-11-14T23:43:42,336,400,99.76361834839275,133,329.53463062628373
1000055,100093,5,2020-04-27T15:28:34,321,562,98.95969692669549,100,138.23776665590847
1000056,100162,2,2020-11-26T23:47:20,860,346,98.38073191253007,792,643.4888718662986
1000057,100034,6,2020-03-17T23:03:31,5,555,98.2537319670967,858,40.604956385256855
1000058,100119,4,2020-01-25T02:43:14,181,253,96.24185797843505,166,647.4672191087577
1000059,100011,1,2020-01-16T01:36:29,77,300,97.6385748532949,207,839.3816896711513
1000060,100063,5,2020-02-05T14:46:22,409,756,100.72794240196043,846,943.8303593159621
1000061,100053,5,2020-05-02T13:33:28,538,291,97.33798474313963,248,9.621043842315768
1000062,100077,2,2020-09-28T06:16:43,243,575,102.70174023423934,711,446.71681305019507
1000063,100051,2,2020-08-21T08:35:53,168,433,99.94536876926925,285,277.69407808105916
1000064,100171,1,2020-04-25T23:11:55,10,587,98.51147961259427,395,411.20052351581427
1000065,100112,5,2020-09-25T05:08:46,42,961,99.00472956063852,692,678.9505243428284
1000066,100017,5,2020-05-21T20:28:06,745,317,100.48519427433101,210,160.9395800580543
1000067,100052,3,2020-07-16T19:58:56,428,166,99.54594322566271,178,32.44848498340136
1000068,100054,5,2020-07-01T11:09:25,914,808,99.65535757705815,762,425.46917354676464
1000069,100119,6,2020-03-13T21:29:58,772,606,96.22854627524008,519,184.68839224021337
1000070,100047,1,2020-05-07T19:19:46,84,828,98.90872034395517,840,39.01143162915843
1000071,100171,2,2020-12-20T03:31:50,268,713,99.30620036451312,227,522.3594802337198
1000072,100054,2,2020-05-23T02:04:05,338,889,96.90068406988502,723,651.2740186230137
1000073,100164,4,2020-04-08T21:06:32,680,53,99.88199893208245,633,72.24645434746846
1000074,100057,5,2020-01-20T09:18:54,728,587,97.86440438203593,161,651.1947915810238
1000075,100070,6,2020-07-08T21:39:38,58,704,101.1224511424078,639,544.3475855851445
1000076,100020,5,2020-09-01T01:20:18,553,77,100.40597421733484,861,493.300784950505
1000077,100189,2,2020-08-16T17:19:33,239,807,98.6703243962715,477,567.0477080434208
1000078,100061,4,2020-06-21T03:11:23,156,670,97.14914030986829,316,976.6336892226898
1000079,100008,6,2020-06-16T22:38:27,544,748,99.37587979941901,128,959.265936704659
1000080,100144,4,2020-04-15T11:36:04,304,216,102.0645939763442,793,942.7587259688747
1000081,100009,2,2020-09-05T04:03:55,186,596,99.17275403805517,847,975.1019182325191
1000082,100150,5,2020-01-20T21:41:26,198,14,97.14577909137672,146,217.82731208492123
1000083,100191,4,2020-10-01T21:42:39,369,226,99.43088398684412,273,784.4952722379313
1000084,100175,3,2020-09-09T02:32:15,615,670,99.83764771764952,373,480.250958183278
1000085,100152,3,2020-07-04T20:26:39,223,747,101.04619903147547,821,856.9187867682356
1000086,100180,5,2020-03-19T01:31:33,330,726,104.45358540193708,832,707.430684888006
1000087,100106,1,2020-08-06T08:39:27,836,421,95.94527577538909,651,776.0600008490992
1000088,100073,5,2020-12-30T07:41:49,525,24,101.11719579508258,364,810.4619263483387
1000089,100034,3,2020-02-05T10:56:15,586,299,101.62611898589559,516,916.3101600207735
1000090,100111,3,2020-05-11T02:43:03,574,962,100.91759420701118,594,194.73315473198593
1000091,100025,5,2020-04-20T03:10:27,947,65,100.71271649022223,371,835.4324607639239
1000092,100049,3,2020-06-10T04:21:22,892,614,100.3082222758408,956,149.01145765036705
1000093,100054,4,2020-12-24T21:54:32,733,79,98.7127375472006,958,116.8843316515008
1000094,100034,4,2020-09-14T11:20:01,939,157,98.97622343206508,259,157.50193768418762
1000095,100106,3,2020-11-13T19:21:24,786,545,98.48102819271415,581,299.281497663987
1000096,100190,4,2020-12-22T08:59:23,862,402,103.505096636342,273,767.7219488369697
1000097,100077,5,2020-02-07T15:29:34,349,840,100.3851847274416,72,567.8371023184982
1000098,100092,3,2020-05-05T12:23:25,654,610,100.86860497510257,835,176.20143400866516
1000099,100006,1,2020-07-08T06:07:12,414,614,96.32827472581978,406,277.03617468463426
1000100,100128,4,2020-07-02T07:40:32,236,516,99.17305009618121,547,161.03699136822337
1000101,100088,5,2020-11-04T12:21:22,53,623,101.92810289565445,985,14.38174151903926
1000102,100130,4,2020-04-16T10:43:41,636,614,97.48181875791497,569,785.903631391092
1000103,100044,1,2020-06-27T21:07:42,102,511,99.01784357811864,771,935.0475624554751
1000104,100046,4,2020-08-29T20:09:38,706,437,99.63862517106469,622,507.5361486202696
1000105,100035,5,2020-05-06T07:13:21,413,622,98.692193616499,552,52.42884974711792
1000106,100139,1,2020-10-15T17:02:32,402,530,95.35456840730747,729,775.354126986466
1000107,100092,3,2020-06-22T01:30:58,284,477,101.43088980872855,594,447.0347642791252
1000108,100030,2,2020-11-16T16:20:42,418,621,97.57965908394335,564,426.9115438031571
1000109,100013,2,2020-01-30T19:50:12,156,964,101.87293092455384,251,228.2832637868205
1000110,100175,1,2020-12-29T05:31:32,297,799,98.87189098551887,310,25.853899258384327
1000111,100166,2,2020-12-03T01:25:40,475,970,98.63983883117554,927,278.8806181075657
1000112,100137,2,2020-04-28T03:10:52,56,444,100.32610526588657,610,326.96914182868085
1000113,100168,4,2020-12-04T05:11:23,583,853,99.76200284052352,633,769.4021807813199
1000114,100017,5,2020-05-21T15:42:32,629,774,97.01977693759375,598,161.73054094798965
1000115,100031,3,2020-11-13T08:46:47,866,342,100.60483064633625,362,266.5873209681366
1000116,100162,2,2020-04-02T03:35:13,256,993,99.86566819473589,969,463.3369133944837
1000117,100123,5,2020-04-22T19:23:27,521,719,99.7190347021585,828,547.0851286017015
1000118,100162,1,2020-06-19T09:44:38,130,449,95.7573944337631,670,49.90500801273501
1000119,100057,5,2020-06-16T03:21:04,821,159,101.29936501485322,290,46.97912341808408
1000120,100180,6,2020-09-17T16:24:29,141,318,99.38055652558599,82,246.39144656478828
1000121,100033,5,2020-12-03T12:59:05,477,705,99.33521738610202,797,744.102768575331
1000122,100076,2,2020-06-21T14:59:27,478,597,97.88869733777763,580,755.1275682189931
1000123,100030,3,2020-05-20T18:25:15,891,295,100.07020694355057,663,967.5058332763211
1000124,100186,3,2020-07-23T15:36:40,435,10,97.07948888114213,283,466.3188285715786
1000125,100062,1,2020-01-23T06:19:24,178,480,102.91603402350053,711,69.98558558147705
1000126,100177,3,2020-12-16T20:43:48,351,587,101.43283731534311,851,492.03264252711807
1000127,100161,6,2020-07-11T20:30:15,629,866,97.11153672116075,563,898.3887875931882
1000128,100166,2,2020-12-26T22:04:40,918,786,97.62739031304515,444,713.5258661887314
1000129,100195,1,2020-05-13T21:10:39,363,196,99.27532347820178,425,860.630484309173
1000130,100147,5,2020-05-30T22:24:49,225,727,101.4092460629981,753,354.71867313164853
1000131,100015,3,2020-05-07T15:20:18,73,678,100.68099967994583,712,218.67192397293812
1000132,100166,4,2020-06-22T09:28:42,952,786,100.3226859842796,489,829.5022334082585
1000133,100099,6,2020-01-12T11:42:30,349,576,96.13448386015214,183,561.6479977963281
1000134,100036,5,2020-10-08T04:36:44,257,553,100.68126461009297,564,110.63911472212907
1000135,100027,3,2020-11-03T02:05:36,999,501,99.51425202633645,702,451.1464214232783
1000136,100094,5,2020-10-06T22:38:38,591,662,100.9755559239476,849,915.6686559263205
1000137,100087,1,2020-04-04T21:20:55,513,287,101.82365450902519,602,107.65396817998595
1000138,100014,1,2020-12-29T08:48:26,381,588,98.09610223896036,531,788.54011872657
1000139,100142,4,2020-07-08T20:10:52,436,532,98.22213287201164,139,680.0671562810697
1000140,100077,4,2020-12-10T18:35:53,816,985,102.11544244208525,691,914.2375780420753
1000141,100199,6,2020-07-02T16:51:09,691,198,97.98746269055133,703,448.46139489246997
1000142,100073,4,2020-11-13T18:36:00,910,145,98.71729314379274,991,167.24962453415725
1000143,100098,1,2020-02-12T13:33:20,520,693,101.23744853652899,172,913.1470673670361
1000144,100130,5,2020-10-22T19:10:50,801,705,103.0308837678357,672,439.48044015097963
1000145,100100,2,2020-11-09T08:15:30,876,842,97.43479219222316,181,607.4368372609948
1000146,100072,6,2020-12-10T05:16:07,950,66,98.97279263428248,241,867.1895806932205
1000147,100053,4,2020-04-24T20:22:45,914,271,100.17659663831046,24,667.419353532239
1000148,100180,1,2020-08-26T04:50:36,348,355,101.19510430947902,964,508.0640126189312
1000149,100049,4,2020-11-06T02:41:51,924,67,100.62977524552133,188,257.69879744443955
1000150,100076,2,2020-08-25T11:31:11,681,664,99.96473578317315,616,694.1445333642201
1000151,100078,4,2020-12-05T05:52:54,604,886,102.01304045404886,314,552.0048022672634
1000152,100090,6,2020-03-14T06:34:48,813,609,99.94681362876476,652,749.0931340874289
1000153,100112,5,2020-09-28T09:49:18,586,294,101.88784848540105,79,575.6642800180498
1000154,100066,4,2020-12-08T19:39:07,63,521,98.53440317831354,92,577.7224525199072
1000155,100036,5,2020-03-28T19:12:26,37,611,99.28022379120173,180,444.34584867591195
1000156,100027,3,2020-03-07T07:44:52,908,257,96.87211367843928,690,438.93675707656956
1000157,100112,2,2020-04-08T03:12:17,547,992,98.38929731176006,750,784.2605976952548
1000158,100195,4,2020-05-20T13:50:13,879,168,94.70187693521626,757,27.074905982123365
1000159,100152,6,2020-02-27T22:30:12,990,322,100.5130664364138,516,709.6499368187891
1000160,100052,3,2020-01-29T19:58:32,892,736,102.33932745640449,814,319.8589903001503
1000161,100147,4,2020-07-29T00:25:48,161,623,98.88932454659735,532,405.5188837085053
1000162,100135,5,2020-04-04T07:53:20,833,467,98.20527540977724,422,533.5944978485276
1000163,100178,4,2020-03-15T18:47:36,499,77,98.83469770519412,227,824.7903575779311
1000164,100085,1,2020-11-17T20:18:31,741,208,100.41222113955473,735,869.3922086412765
1000165,100150,4,2020-08-21T06:46:20,507,321,104.73370145838155,302,347.6595509365191
1000166,100078,3,2020-11-28T08:49:34,837,39,100.49748840791099,978,165.99844209173432
1000167,100054,3,2020-01-23T20:46:26,17,774,98.17390173232856,84,943.5657897033384
1000168,100130,4,2020-10-18T05:01:49,778,833,98.90907903955585,887,161.0762414776804
1000169,100044,4,2020-07-12T16:56:57,971,908,99.52533625481212,602,30.767802526991183
1000170,100108,1,2020-05-27T01:12:07,103,366,96.29239804848005,73,349.69273171476823
1000171,100061,3,2020-03-25T12:14:06,926,28,98.29382926719865,977,362.97184938456286
1000172,100112,5,2020-05-25T13:03:33,249,942,100.49856510289838,386,87.66564473329296
1000173,100003,2,2020-10-30T19:12:40,8,964,98.54326728747549,194,495.9167196984975
1000174,100022,6,2020-02-06T17:23:04,331,862,100.47385315727887,253,637.6067617007859
1000175,100152,6,2020-11-06T00:09:15,489,344,98.44629937248003,156,128.1626095988836
1000176,100081,4,2020-01-23T07:25:31,607,457,99.1372819461886,594,167.96941915179588
1000177,100197,2,2020-12-19T05:23:00,45,424,101.42554635145171,757,302.47519984461314
1000178,100146,2,2020-11-16T18:03:08,336,462,99.1942426048479,838,383.2204428588772
1000179,100122,1,2020-04-18T22:18:42,66,988,98.4291274005261,142,114.16833222806677
1000180,100082,2,2020-09-29T05:16:48,926,604,102.16543711616508,158,567.4992193182518
1000181,100084,6,2020-02-13T07:33:54,84,810,102.03729780481488,654,527.887431295824
1000182,100009,6,2020-05-31T00:25:25,748,985,96.38582160608857,686,226.71231990773398
1000183,100194,2,2020-05-23T18:37:00,493,684,98.84130612801488,379,636.7909847604352
1000184,100033,1,2020-08-01T07:44:33,692,248,97.53816985700323,418,787.6001024707629
1000185,100164,4,2020-04-13T15:13:16,677,14,100.60300975073909,655,531.7048420646976
1000186,100083,4,2020-02-29T13:13:54,908,641,101.61288414600932,257,422.41217747718673
