ad_set_id,campaign_id,ad_set_name,daily_budget,bid_strategy,status
10000,1006,SET-JQGPY,494.7252991008797,bid_cap,paused
10001,1016,SET-QXS1O,494.68030555241427,lowest_cost,archived
10002,1001,SET-SOOJB,145.7334529548585,lowest_cost,archived
10003,1008,SET-UG1SM,737.2219674543354,cost_cap,active
10004,1019,SET-7B95M,765.9262792730515,bid_cap,paused
10005,1011,SET-A5G6S,697.3828905592796,bid_cap,active
10006,1012,SET-QSAPC,10.0,lowest_cost,paused
10007,1006,SET-7234D,699.3476574651459,cost_cap,archived
10008,1007,SET-2ZAEJ,28.08679642025225,lowest_cost,paused
10009,1022,SET-4NURQ,10.0,bid_cap,active
10010,1014,SET-1UMK5,763.4396130744119,cost_cap,paused
10011,1018,SET-KHVQ7,607.001497078814,bid_cap,active
10012,1009,SET-1DLT2,418.8074090037068,cost_cap,paused
10013,1001,SET-R59C7,204.36888774728223,lowest_cost,archived
10014,1024,SET-SJ1ZH,204.768814298824,cost_cap,paused
10015,1019,SET-TZ1KI,285.68894634018693,cost_cap,paused
10016,1018,SET-9QJM0,585.334130701144,cost_cap,archived
10017,1006,SET-JIHV2,555.346986904078,cost_cap,archived
10018,1005,SET-GS2YG,676.8916277466287,lowest_cost,paused
10019,1013,SET-NP1KM,362.8804699469774,cost_cap,archived
10020,1022,SET-VHLF2,14.528762024450081,bid_cap,paused
10021,1007,SET-R3A58,92.06571523060181,bid_cap,paused
10022,1010,SET-JI8UR,364.0603941350611,cost_cap,paused
10023,1002,SET-AUSQ0,278.85117909913924,cost_cap,archived
10024,1001,SET-1SRSW,886.9935666634799,cost_cap,archived
10025,1005,SET-MOH8U,265.7622691199929,bid_cap,active
10026,1002,SET-WRHMM,222.57673598967932,bid_cap,active
10027,1014,SET-0QOS8,255.42712221368734,cost_cap,archived
10028,1012,SET-MMNA1,184.98289996652517,bid_cap,archived
10029,1024,SET-VK159,330.8767578087408,lowest_cost,active
10030,1013,SET-Y9IE8,610.8079339106497,cost_cap,active
10031,1011,SET-3JTL6,663.6303554595015,bid_cap,paused
10032,1011,SET-RQ7K3,471.49902511335904,cost_cap,paused
10033,1018,SET-BL2OG,937.5563739660764,lowest_cost,active
10034,1001,SET-J9TRM,991.6788007738634,bid_cap,active
10035,1007,SET-NJ7H4,849.0709524874384,lowest_cost,paused
10036,1018,SET-GGRJI,766.8124620326105,lowest_cost,active
10037,1018,SET-7JTK6,842.8479963855694,cost_cap,archived
10038,1019,SET-5OIJE,515.8259567766928,lowest_cost,archived
10039,1010,SET-CO101,823.3797248684539,bid_cap,archived
10040,1016,SET-Y00LO,668.5951344402743,cost_cap,paused
10041,1013,SET-EZ67J,194.4355277309846,cost_cap,archived
10042,1010,SET-MR89W,685.3948559569798,bid_cap,active
10043,1017,SET-P21AQ,789.387506133516,bid_cap,paused
10044,1024,SET-MMD90,809.5126049554492,lowest_cost,active
10045,1007,SET-XWR1V,864.2770844058342,bid_cap,archived
10046,1000,SET-8X119,306.0249497138532,bid_cap,paused
10047,1007,SET-GA5GR,838.6798743415887,bid_cap,paused
10048,1012,SET-ADTH9,640.3347499082132,lowest_cost,paused
10049,1015,SET-DAWMX,167.18978646731563,cost_cap,archived
10050,1022,SET-JD22O,354.9827984243944,lowest_cost,archived
10051,1002,SET-1CY4E,743.7787585946068,cost_cap,archived
10052,1015,SET-8ZL7E,330.05145585187046,cost_cap,active
10053,1010,SET-3U2A6,225.6273354184718,cost_cap,active
10054,1004,SET-XMRPP,913.9077205129329,bid_cap,active
10055,1011,SET-43WTW,671.7613452708817,bid_cap,active
10056,1011,SET-H0X4E,431.75305416389784,bid_cap,paused
10057,1006,SET-2WYDO,692.2184559597449,cost_cap,archived
10058,1002,SET-3APES,901.1701343912944,cost_cap,archived
10059,1007,SET-4ET7B,933.798136409376,cost_cap,paused
10060,1008,SET-O9Y59,92.25205946275649,cost_cap,paused
10061,1020,SET-2SD3B,565.6401015883198,bid_cap,paused
10062,1004,SET-JJBQX,878.6757452874101,bid_cap,paused
10063,1015,SET-XTI1S,465.2024434292525,cost_cap,archived
10064,1007,SET-YLWN7,690.0521036454182,lowest_cost,active
10065,1013,SET-L4GMZ,729.4965694000666,cost_cap,active
10066,1024,SET-RJ4G3,787.9446864856792,cost_cap,archived
10067,1016,SET-11CVI,594.1558246663459,cost_cap,active
10068,1001,SET-SMS7A,750.7196325664828,cost_cap,paused
10069,1014,SET-L1E43,387.6821524756037,cost_cap,active
10070,1006,SET-XGTLR,824.2553290726765,cost_cap,active
10071,1007,SET-KME64,565.2076970202279,cost_cap,archived
10072,1013,SET-DIZBM,198.58533528298662,bid_cap,active
10073,1022,SET-7I40Z,658.2209940502419,cost_cap,paused
10074,1019,SET-ERH0Q,517.583927374914,bid_cap,active
10075,1009,SET-V0TTF,691.0632587003433,bid_cap,active
10076,1008,SET-9091B,383.56116894841574,lowest_cost,archived
10077,1023,SET-Z2V84,17.642009646065215,lowest_cost,archived
10078,1019,SET-8IYPC,203.44016919609132,bid_cap,paused
10079,1021,SET-322GX,330.60378261267806,cost_cap,active
