ad_id,ad_set_id,campaign_id,creative_id,status,is_dynamic,created_ts
100000,10047,1000,5087,active,True,2020-07-26T05:23:58
100001,10074,1014,5094,paused,False,2020-01-16T08:24:28
100002,10008,1008,5018,active,True,2020-11-09T18:19:23
100003,10047,1021,5095,active,True,2020-06-24T12:20:59
100004,10073,1013,5035,archived,True,2020-10-15T21:06:47
100005,10006,1009,5070,archived,True,2020-05-28T08:55:33
100006,10025,1022,5000,archived,False,2020-12-22T20:10:03
100007,10053,1012,5115,archived,False,2020-06-28T05:24:08
100008,10021,1005,5005,paused,True,2020-11-21T09:59:33
100009,10033,1005,5039,archived,False,2020-11-12T08:53:39
100010,10005,1023,5119,active,True,2020-11-09T17:16:54
100011,10047,1002,5112,paused,False,2020-08-31T21:14:07
100012,10004,1001,5059,paused,True,2020-11-06T01:52:37
100013,10040,1003,5094,archived,False,2020-08-28T10:12:04
100014,10065,1021,5074,archived,True,2020-02-15T12:18:20
100015,10044,1023,5048,archived,True,2020-04-28T04:45:54
100016,10079,1022,5000,active,False,2020-03-19T02:10:43
100017,10038,1023,5047,active,False,2020-07-22T16:53:51
100018,10059,1016,5031,paused,True,2020-05-21T12:49:14
100019,10064,1021,5048,archived,False,2020-04-23T20:49:51
100020,10071,1010,5011,active,True,2020-01-10T03:01:05
100021,10039,1024,5105,active,True,2020-12-01T10:33:36
100022,10046,1013,5039,active,False,2020-12-13T09:44:50
100023,10032,1021,5044,archived,False,2020-05-19T18:36:15
100024,10055,1021,5016,active,True,2020-03-15T19:54:46
100025,10076,1013,5032,active,False,2020-06-11T06:28:06
100026,10021,1011,5101,paused,True,2020-03-25T14:54:05
100027,10057,1022,5014,archived,True,2020-10-20T07:55:02
100028,10027,1021,5111,archived,False,2020-01-24T00:32:41
100029,10074,1014,5074,archived,False,2020-06-17T13:30:23
100030,10015,1012,5039,active,False,2020-07-11T07:16:20
100031,10038,1001,5021,paused,False,2020-10-29T18:46:17
100032,10034,1010,5079,paused,False,2020-04-21T17:01:51
100033,10067,1015,5076,active,True,2020-05-22T08:01:52
100034,10066,1020,5008,archived,True,2020-03-18T08:31:48
100035,10015,1004,5010,paused,True,2020-07-23T00:26:03
100036,10049,1000,5013,paused,True,2020-12-12T13:15:54
100037,10041,1000,5051,active,False,2020-12-09T01:54:02
100038,10035,1020,5072,archived,False,2020-05-06T12:31:52
100039,10025,1011,5032,archived,True,2020-06-12T18:08:38
100040,10044,1009,5063,paused,False,2020-11-15T23:34:26
100041,10056,1021,5026,active,True,2020-07-06T00:47:21
100042,10061,1007,5012,archived,False,2020-12-05T09:50:54
100043,10031,1017,5095,active,False,2020-03-10T15:02:31
100044,10053,1001,5072,active,False,2020-09-02T20:24:03
100045,10058,1009,5083,active,True,2020-11-19T20:52:44
100046,10069,1021,5069,paused,True,2020-03-15T17:45:59
100047,10008,1008,5065,archived,False,2020-08-23T02:49:58
100048,10018,1019,5056,paused,True,2020-10-26T05:08:43
100049,10073,1008,5058,archived,False,2020-02-28T08:36:57
100050,10079,1005,5083,archived,False,2020-09-22T01:52:11
100051,10046,1017,5014,active,False,2020-03-26T10:08:07
100052,10050,1016,5008,paused,True,2020-02-19T05:16:31
100053,10070,1000,5042,archived,False,2020-09-29T04:14:25
