campaign_id,campaign_name,objective,status,start_ts,end_ts
1000,CMP-U817CG,consideration,active,2020-12-09T07:40:02,2020-05-01T11:36:18
1001,CMP-BR2WTS,awareness,paused,2020-06-19T11:17:00,
1002,CMP-IL8V18,conversion,archived,2020-08-19T11:03:19,2020-06-12T17:42:45
1003,CMP-IZV6OW,consideration,paused,2020-09-25T22:25:20,2020-10-20T16:39:53
1004,CMP-5G3DAU,conversion,paused,2020-12-01T16:39:14,2020-05-31T18:04:09
1005,CMP-4QBHX6,conversion,archived,2020-04-13T14:24:51,2020-07-27T22:55:14
1006,CMP-R82Y56,consideration,archived,2020-03-26T20:00:40,2020-12-11T07:46:10
1007,CMP-SNJ36R,consideration,active,2020-06-26T21:36:18,2020-07-04T00:29:29
1008,CMP-ZZWJ8F,conversion,paused,2020-07-20T19:02:59,2020-05-04T00:52:05
1009,CMP-PJRMQQ,conversion,archived,2020-04-08T12:27:05,2020-02-15T23:01:09
1010,CMP-DOX0LR,conversion,paused,2020-04-09T21:30:06,2020-03-25T19:48:40
1011,CMP-WMNZ7T,awareness,active,2020-05-08T13:40:01,2020-08-14T13:41:32
1012,CMP-KLSV5A,conversion,archived,2020-06-21T04:15:38,2020-09-07T04:16:56
1013,CMP-DNS8TR,conversion,paused,2020-07-01T14:29:41,2020-12-24T12:00:56
1014,CMP-PH2ALU,awareness,archived,2020-09-23T21:04:16,2020-03-04T14:34:38
1015,CMP-0LA5ZM,conversion,active,2020-05-19T07:18:39,2020-03-02T12:29:18
1016,CMP-IIEM8T,consideration,active,2020-04-28T16:55:00,2020-10-30T02:38:22
1017,CMP-XAHNNE,awareness,active,2020-09-13T10:41:16,2020-05-22T02:23:54
1018,CMP-3RG5E9,conversion,archived,2020-02-06T11:59:03,2020-05-05T19:45:45
1019,CMP-K5KG34,awareness,paused,2020-11-19T18:39:13,2020-09-28T03:16:45
1020,CMP-SYDG1V,conversion,active,2020-06-04T16:17:59,2020-05-12T03:22:52
1021,CMP-NDJAVI,consideration,archived,2020-02-25T20:08:38,2020-01-10T11:12:28
1022,CMP-QRRPUC,conversion,paused,2020-03-08T09:48:52,
1023,CMP-HQCGEP,awareness,active,2020-04-04T07:31:39,2020-11-12T06:50:26
1024,CMP-T2EW01,awareness,active,2020-05-10T09:21:32,2020-08-22T10:18:47
