creative_id,creative_type,headline,landing_url
5000,video,,https://example.com/0ECUS6VX
5001,image,VYJQLKM1,https://example.com/DV4W3U2O
5002,video,YYR3I0GS,https://example.com/RWQ77HCI
5003,carousel,VLO83KRH,https://example.com/3Z0HC75C
5004,video,,https://example.com/RD953QWR
5005,video,QS68065Q,https://example.com/8CKOJF61
5006,video,,https://example.com/SU2FOORR
5007,text,8IQTPQ3W,https://example.com/NQUMXA9S
5008,text,Q61K0VHU,https://example.com/D3168ENN
5009,carousel,PWNHAFSN,https://example.com/H2V4NFHG
5010,text,3YPJY1R2,https://example.com/UHT0MIQ6
5011,text,C83H12P4,https://example.com/HNXOQCLE
5012,carousel,JHC9EH58,https://example.com/E64ZUSCF
5013,text,4G4EUS19,https://example.com/GQFIQHQQ
5014,video,W2X3B78J,https://example.com/KZU4OA0K
5015,video,JDZH6ILR,https://example.com/YHTTT61H
5016,carousel,KJFFSBWJ,https://example.com/1T1BXV88
5017,video,0TAC32M1,https://example.com/DZAMHD2T
5018,carousel,F5VPXRN3,https://example.com/0ZP8F20H
5019,video,0IAXNOPR,https://example.com/VXCZOSA0
5020,carousel,Q01JN06S,https://example.com/6MXFZ4K9
5021,text,YJ4RQ4RQ,https://example.com/JSY6Y7TZ
5022,text,UNZZTMGF,https://example.com/M8IGURM6
5023,image,EU05ML6A,https://example.com/JC7FTE01
5024,carousel,UET5RX2F,https://example.com/TGFUQ8EH
5025,video,GS05B9YQ,https://example.com/3DIDL73W
5026,video,3Y4Y6BWS,https://example.com/PQPGY6VM
5027,image,Z85Z1CEH,https://example.com/CL0MGMVU
5028,video,RDSJR6JP,https://example.com/IUZGXTTX
5029,video,3BB2Y7DM,https://example.com/UYV9YPJ1
5030,video,,https://example.com/2AA8KRRW
5031,video,LMVGSJ9Z,https://example.com/KB66VKIT
5032,video,IQFH5MD4,https://example.com/PZR0C5MS
5033,video,XSTV5SJB,https://example.com/QJRCM4HO
5034,carousel,V4NW1N8I,https://example.com/RY31WCNG
5035,image,DSC9JH3Y,https://example.com/IC7W2GQN
5036,carousel,XMTZUW9G,https://example.com/UPL0H2MW
5037,text,UDRUQUVU,https://example.com/RJV53CJO
5038,text,2H62XC2M,https://example.com/K0MZ8WVF
5039,image,M7MEXDXI,https://example.com/4V8CK17R
5040,carousel,5WXALYT4,https://example.com/DURCXPAF
5041,carousel,3RZ69UIV,https://example.com/4YRRMYVE
5042,video,Q7IVV190,https://example.com/R64Z7Y4G
5043,video,U2KFMIA6,https://example.com/UV0GC75L
5044,text,,https://example.com/ULQ3S5KT
5045,image,Q2JJKLK3,https://example.com/YV001MJ4
5046,video,,https://example.com/60CFD5EC
5047,video,I62GZEVX,https://example.com/MV1NCKM3
5048,carousel,0IJC0FTX,https://example.com/M57GWXYU
5049,video,KGS25NPO,https://example.com/UICAMKGS
5050,video,,https://example.com/ZUTIKXG3
5051,image,,https://example.com/BFEYMG2A
5052,video,EHKR279Z,https://example.com/O1PZG1BO
5053,carousel,,https://example.com/5MGJREWF
5054,image,2VOE1V8N,https://example.com/DZ2LRKV3
5055,video,,https://example.com/M3GHEYQD
5056,carousel,C4HJWFUR,https://example.com/FSGINOZ0
5057,text,6BHZ1UCG,https://example.com/JL582JNV
5058,image,I5H9AMHV,https://example.com/QZE6T9BC
5059,image,T00VPQIR,https://example.com/919FJJC7
5060,text,V0O7ERRK,https://example.com/UL2T25XT
5061,video,,https://example.com/IMUFNYFL
5062,video,B4C60C8B,https://example.com/0NUNL7V8
5063,carousel,,https://example.com/L35ORBK6
5064,text,O64DHIP4,https://example.com/9WFY71OX
5065,image,Q9JAFI1G,https://example.com/SXS2PXY2
5066,text,YIEJ83PA,https://example.com/IY8D5H24
5067,carousel,5784NFN9,https://example.com/G39T5BUG
5068,carousel,,https://example.com/5KQ2720N
5069,video,O2LQNRQ0,https://example.com/52KH15ZO
5070,text,NHZWSR13,https://example.com/RDMVMVT8
5071,text,VLDXLZ2I,https://example.com/CNLR2ODF
5072,image,IE1NFHFL,https://example.com/66L290JS
5073,video,18IX49W7,https://example.com/C6GCOEX2
5074,carousel,4WN9A8YS,https://example.com/D7K7XHK2
5075,video,,https://example.com/OUAGSI5W
5076,video,A7HQFRWN,https://example.com/NLTHZEUN
5077,image,PVIZQE8J,https://example.com/LI4F1P6K
5078,image,NWNY11UI,https://example.com/DHZ6XBLV
5079,carousel,NPMLF0VW,https://example.com/LQSO0I3N
5080,carousel,14OEYDV4,https://example.com/NR46QNSW
5081,image,J9WAFQQL,https://example.com/V3HATJAR
5082,text,BV1YV7SS,https://example.com/M3AOZ7VF
5083,video,OK5O5P7R,https://example.com/U0FFACL7
5084,text,P7RQ8VBN,https://example.com/K1YMGEFM
5085,image,COM2SIJB,https://example.com/QN5SZHDA
5086,carousel,9SRPHD3P,https://example.com/S5AA92ZJ
5087,image,QDJXYYY7,https://example.com/YMAMDISR
5088,text,ILTF6ZVI,https://example.com/9W4I2CCX
5089,carousel,1SXR2JE1,https://example.com/GOUISG78
5090,text,SWJJ35MM,https://example.com/W8KEUYJM
5091,carousel,,https://example.com/KET8U9NY
5092,carousel,G1KQPEH0,https://example.com/6042IU70
5093,carousel,GPGEPD85,https://example.com/IIGNB4BV
5094,carousel,L2NROIYZ,https://example.com/3485C3Q1
5095,carousel,SAWWUSIO,https://example.com/K697G6GB
5096,text,,https://example.com/GSORLBPW
5097,carousel,XM5K014T,https://example.com/FMROTLY4
5098,video,K4Z1XX0W,https://example.com/454MN2WQ
5099,carousel,DU40GO9D,https://example.com/L0CGN6MG
5100,video,IB9VZ9BL,https://example.com/BHWRV9W3
5101,carousel,QOW49ZKL,https://example.com/W6G746FI
5102,video,ITOG71HQ,https://example.com/MOQBDB02
5103,text,LX9SDEX1,https://example.com/BPJC824W
5104,video,LHIIQ5YV,https://example.com/YHT224U8
5105,image,YY5KVDPO,https://example.com/YHS4H73K
5106,text,98OXTEYJ,https://example.com/DBHNUS67
5107,video,B7BEQ57E,https://example.com/X1DZE6TT
5108,image,W56C2RKV,https://example.com/V1SYWIA1
5109,video,DBIK28I9,https://example.com/XTT59Y0E
5110,carousel,PSKNM0F7,https://example.com/P7WZA28Y
5111,carousel,67FCLHQR,https://example.com/48OZJE21
5112,video,,https://example.com/WW1ERLOQ
5113,image,I86B6FWJ,https://example.com/YB6CDPY6
5114,image,0A4K1BJM,https://example.com/28RJ19X2
5115,video,KO7V9FVE,https://example.com/MSN5VWB9
5116,video,R1XNRCT3,https://example.com/CFXPEF09
5117,text,ZKU2AFPJ,https://example.com/VRZ28C9X
5118,video,9OOY8BHL,https://example.com/QNNROISY
5119,video,,https://example.com/UBDWJ4B7
