follower_id,followed_id,followed_ts
1128,1360,2020-06-01T22:03:19
1263,1367,2020-03-23T09:36:56
1186,1226,2020-04-30T19:47:09
1274,1383,2020-07-06T16:31:05
1293,1048,2020-12-23T04:05:58
1291,1161,2020-11-18T08:43:17
1419,1301,2020-07-30T15:22:27
1338,1256,2020-09-16T23:13:39
1245,1228,2020-02-19T14:47:50
1459,1453,2020-01-09T02:36:16
1332,1079,2020-03-19T04:27:29
1421,1361,2020-04-03T13:11:50
1088,1256,2020-04-19T23:17:36
1428,1321,2020-11-15T13:02:15
1427,1494,2020-10-07T09:49:17
1158,1050,2020-01-06T22:52:02
1104,1138,2020-11-06T00:52:53
1099,1041,2020-08-07T17:18:35
1335,1388,2020-06-30T20:33:06
1059,1229,2020-11-07T19:59:11
1140,1058,2020-01-22T02:29:22
1281,1115,2020-08-10T09:55:43
1364,1300,2020-10-26T20:23:44
1237,1207,2020-09-10T11:58:22
1373,1457,2020-03-27T20:52:31
1462,1270,2020-08-14T08:32:44
1395,1440,2020-10-02T11:08:25
1302,1073,2020-09-20T04:47:43
1109,1395,2020-06-02T03:50:55
1491,1365,2020-02-27T07:55:56
1249,1081,2020-01-10T15:51:32
1379,1408,2020-12-26T16:59:17
1499,1171,2020-12-02T18:13:00
1372,1033,2020-09-29T09:11:24
1435,1296,2020-10-28T07:08:38
1036,1122,2020-12-15T10:15:58
1172,1436,2020-04-27T13:51:10
1086,1283,2020-01-08T11:09:21
1386,1344,2020-01-01T23:08:21
1493,1297,2020-10-09T18:23:08
1082,1301,2020-08-15T02:36:20
1084,1033,2020-11-18T14:11:00
1369,1206,2020-08-25T20:31:45
1203,1119,2020-06-23T06:26:13
1128,1226,2020-07-15T04:38:21
1328,1310,2020-02-02T03:10:13
1159,1416,2020-05-29T11:21:58
1022,1313,2020-04-07T03:37:05
1430,1324,2020-05-30T15:50:19
1211,1146,2020-03-27T18:06:10
1474,1349,2020-02-03T21:09:01
1099,1280,2020-04-28T10:18:26
1480,1444,2020-11-20T04:57:01
1430,1201,2020-12-30T06:11:30
1248,1132,2020-05-22T15:16:16
1051,1098,2020-01-17T12:29:41
1399,1096,2020-07-31T15:19:08
1497,1351,2020-10-21T18:27:36
1181,1489,2020-11-07T03:37:52
1363,1412,2020-10-26T04:48:39
1173,1144,2020-07-02T20:36:33
1397,1367,2020-09-17T00:58:54
1285,1368,2020-01-01T19:27:01
1492,1017,2020-09-14T20:38:03
1140,1111,2020-05-28T02:10:21
1152,1345,2020-06-27T22:44:06
1124,1339,2020-03-21T00:36:20
1485,1038,2020-05-07T16:01:53
1073,1399,2020-08-03T21:15:12
1165,1478,2020-01-14T18:39:14
1452,1101,2020-04-17T22:11:02
1177,1185,2020-09-04T13:33:09
1451,1278,2020-08-09T08:50:50
1217,1356,2020-06-05T21:50:08
1388,1396,2020-09-19T17:03:09
1339,1336,2020-04-21T08:35:06
1132,1445,2020-08-23T06:26:46
1288,1142,2020-10-31T22:43:06
1136,1431,2020-07-26T13:42:17
1005,1276,2020-09-07T04:33:41
1097,1233,2020-10-24T07:58:20
1263,1224,2020-01-14T05:09:33
1355,1248,2020-09-30T21:12:53
1143,1315,2020-08-30T18:50:49
1398,1024,2020-03-04T17:03:08
1432,1423,2020-01-02T09:23:09
1412,1245,2020-12-21T04:17:39
1385,1258,2020-06-08T16:37:43
1255,1014,2020-08-27T01:15:12
1217,1245,2020-07-16T12:00:53
1346,1077,2020-05-24T18:22:13
1060,1044,2020-01-29T19:06:06
1245,1313,2020-04-14T02:27:36
1454,1033,2020-05-15T23:49:24
1050,1355,2020-08-31T04:10:01
1445,1310,2020-02-25T07:24:01
1214,1240,2020-04-25T11:15:04
1144,1431,2020-06-01T10:40:46
1447,1046,2020-01-17T10:39:35
1016,1333,2020-03-05T20:59:24
1114,1345,2020-06-26T06:49:36
1135,1333,2020-09-20T12:44:24
1432,1025,2020-02-11T17:35:24
1002,1256,2020-02-03T23:34:31
1307,1062,2020-02-01T10:25:43
1401,1086,2020-11-14T15:19:13
1455,1290,2020-10-19T14:49:03
1486,1090,2020-10-05T00:56:48
1101,1107,2020-12-15T12:21:08
1485,1345,2020-08-21T13:13:16
1286,1350,2020-05-14T14:35:43
1121,1328,2020-02-16T07:41:06
1101,1451,2020-09-03T06:40:26
1116,1031,2020-11-14T10:22:13
1165,1294,2020-02-01T12:35:48
1262,1048,2020-01-07T05:12:17
1245,1281,2020-12-02T03:28:39
1450,1120,2020-04-25T17:05:21
1449,1022,2020-08-04T15:24:00
1491,1280,2020-01-02T03:16:40
1042,1317,2020-12-09T19:29:07
1489,1243,2020-12-19T10:58:53
1396,1164,2020-06-20T01:39:39
1427,1276,2020-08-10T14:46:03
1207,1395,2020-09-01T17:28:23
1296,1467,2020-07-18T01:32:22
1098,1127,2020-09-04T08:25:15
1253,1188,2020-09-11T04:22:06
1013,1093,2020-05-30T03:50:13
1066,1179,2020-11-13T16:04:54
1356,1196,2020-05-09T12:29:25
1403,1094,2020-12-22T22:37:21
1136,1484,2020-09-27T08:57:02
1493,1055,2020-08-31T20:26:47
1151,1213,2020-10-03T07:25:16
1226,1340,2020-01-21T16:45:56
