reaction_id,post_id,user_id,reaction_type,created_ts
100000,100045,1109,wow,2020-08-24T23:39:56
100001,100176,1146,like,2020-10-08T16:36:29
100002,101389,1105,wow,2020-10-07T15:36:02
100003,100282,1058,like,2020-06-11T09:36:47
100004,101547,1106,laugh,2020-05-14T15:21:44
100005,101932,1383,wow,2020-08-02T14:52:18
100006,100365,1441,love,2020-06-19T05:49:11
100007,100160,1014,love,2020-03-23T09:21:41
100008,100259,1106,wow,2020-09-04T04:14:39
100009,100395,1108,like,2020-08-09T13:18:39
100010,101407,1054,love,2020-06-08T01:33:03
100011,100819,1180,wow,2020-03-02T01:00:01
100012,101730,1282,wow,2020-12-29T02:06:10
100013,101487,1497,love,2020-01-14T04:19:27
100014,101669,1468,angry,2020-11-09T05:17:07
100015,101000,1425,like,2020-05-02T04:54:23
100016,101732,1320,sad,2020-06-05T18:11:31
100017,100984,1072,like,2020-02-26T16:18:46
100018,101044,1389,sad,2020-10-31T18:02:57
100019,101473,1091,angry,2020-10-13T19:31:09
100020,100918,1406,angry,2020-07-19T15:07:05
100021,101974,1268,laugh,2020-06-18T17:31:51
100022,101532,1222,like,2020-10-11T15:10:42
100023,100453,1093,like,2020-01-30T20:51:50
100024,101745,1207,wow,2020-03-11T16:38:43
100025,101639,1404,like,2020-06-13T02:48:36
100026,100539,1177,love,2020-10-20T20:04:36
100027,100797,1427,like,2020-01-07T08:16:58
100028,100813,1371,angry,2020-05-17T16:50:02
100029,101301,1313,laugh,2020-01-10T23:55:31
100030,101418,1417,like,2020-03-17T11:01:30
100031,101238,1430,angry,2020-09-25T07:30:43
100032,101114,1175,like,2020-08-02T22:56:51
100033,101457,1326,laugh,2020-07-02T18:07:49
100034,101352,1011,sad,2020-02-06T11:54:54
100035,100515,1152,love,2020-07-14T05:13:45
100036,101921,1094,wow,2020-09-04T02:41:08
100037,101603,1386,love,2020-01-22T05:12:49
100038,101765,1335,angry,2020-03-06T18:38:15
100039,100922,1043,sad,2020-08-25T12:03:17
100040,101548,1068,wow,2020-07-14T13:59:47
100041,100918,1309,wow,2020-01-08T14:46:32
100042,101756,1041,wow,2020-08-09T16:05:51
100043,100245,1275,love,2020-02-17T16:47:27
100044,100093,1148,angry,2020-08-18T10:22:03
100045,101313,1341,sad,2020-01-31T08:18:39
100046,101713,1284,laugh,2020-01-05T15:28:23
100047,101465,1209,sad,2020-07-15T03:30:28
100048,101551,1109,laugh,2020-06-06T15:07:49
100049,100816,1433,love,2020-01-06T06:32:59
100050,100447,1016,love,2020-05-27T02:57:59
100051,100032,1225,angry,2020-05-21T10:13:11
100052,100102,1423,love,2020-09-20T18:21:14
100053,101379,1254,sad,2020-10-02T06:40:32
100054,100868,1225,angry,2020-07-13T19:50:58
100055,100441,1306,wow,2020-09-06T10:24:07
100056,100567,1144,angry,2020-05-10T10:22:32
100057,101148,1403,wow,2020-08-09T20:41:58
100058,101301,1111,like,2020-11-26T13:09:27
100059,101212,1496,sad,2020-12-30T04:25:00
100060,100721,1440,sad,2020-10-22T19:37:55
100061,100931,1103,wow,2020-05-24T02:01:14
100062,100036,1479,like,2020-03-11T16:42:08
100063,100386,1166,sad,2020-04-14T09:51:18
100064,101969,1308,angry,2020-10-26T20:45:22
100065,100158,1215,angry,2020-01-25T07:38:04
100066,100833,1490,like,2020-05-14T06:31:13
100067,101757,1311,wow,2020-11-17T03:21:19
100068,100912,1435,wow,2020-10-25T14:16:54
100069,100575,1243,like,2020-05-02T15:32:13
100070,101565,1348,love,2020-02-13T23:27:12
100071,101597,1221,laugh,2020-07-14T08:50:31
100072,100438,1372,laugh,2020-03-13T17:24:17
100073,100444,1251,sad,2020-01-16T01:07:08
100074,100995,1461,angry,2020-01-03T15:58:57
100075,100074,1307,laugh,2020-01-02T14:58:11
100076,100516,1136,sad,2020-12-07T12:42:58
100077,101435,1028,angry,2020-05-15T00:12:43
100078,100504,1443,laugh,2020-02-10T02:47:20
100079,100329,1317,love,2020-05-29T21:41:53
100080,100245,1472,wow,2020-01-11T04:00:41
100081,101351,1052,sad,2020-12-21T00:14:59
100082,100367,1082,like,2020-04-24T02:34:36
100083,101744,1445,angry,2020-04-08T21:45:15
100084,101518,1020,angry,2020-01-15T23:00:29
100085,101760,1319,love,2020-06-15T15:10:12
100086,100412,1377,like,2020-01-12T09:03:42
100087,101079,1181,sad,2020-06-29T18:05:50
100088,101419,1173,like,2020-08-01T06:36:48
100089,100161,1165,sad,2020-11-12T11:25:33
100090,100129,1040,laugh,2020-03-11T00:19:22
100091,100876,1480,wow,2020-05-03T15:04:32
100092,101260,1458,like,2020-05-05T01:21:46
100093,100260,1416,love,2020-08-10T02:20:14
100094,100900,1170,angry,2020-01-17T22:47:11
100095,100367,1065,sad,2020-04-27T03:12:35
100096,100105,1416,laugh,2020-02-10T15:36:59
100097,100943,1323,wow,2020-09-14T12:44:28
100098,101283,1132,like,2020-03-16T12:35:50
100099,101288,1485,laugh,2020-05-07T23:47:56
100100,101432,1029,angry,2020-05-01T00:56:12
100101,100720,1198,sad,2020-12-09T13:41:47
100102,101315,1124,wow,2020-12-02T21:45:28
100103,101620,1193,wow,2020-08-01T02:03:56
100104,101623,1170,like,2020-07-31T19:49:09
100105,101899,1336,sad,2020-10-04T13:16:45
100106,100141,1396,like,2020-12-08T17:46:32
100107,100790,1137,angry,2020-12-29T14:16:42
100108,101886,1198,sad,2020-05-04T04:33:21
100109,101447,1313,wow,2020-07-18T03:09:57
100110,100551,1196,wow,2020-08-26T20:02:27
100111,100928,1495,sad,2020-05-28T11:35:14
100112,101312,1417,love,2020-11-21T20:53:59
100113,101252,1341,sad,2020-10-21T17:28:37
100114,100607,1305,wow,2020-02-20T19:00:13
100115,100768,1082,angry,2020-05-11T10:20:29
100116,100991,1176,laugh,2020-07-27T10:04:39
100117,100378,1445,wow,2020-05-06T05:39:33
100118,100091,1240,sad,2020-04-17T05:49:02
100119,101819,1283,wow,2020-06-19T17:52:05
100120,100613,1390,angry,2020-07-18T10:02:03
100121,100315,1461,love,2020-08-09T04:18:37
100122,101565,1439,sad,2020-11-23T13:28:01
100123,101711,1381,wow,2020-01-02T20:53:55
100124,100250,1152,like,2020-08-10T00:25:53
100125,101918,1413,laugh,2020-04-13T22:54:14
100126,101843,1317,love,2020-11-20T10:45:07
100127,101140,1146,laugh,2020-09-17T20:35:48
100128,100453,1036,wow,2020-11-14T12:04:21
100129,101299,1188,angry,2020-11-18T12:25:55
100130,101945,1296,sad,2020-09-03T06:58:35
100131,101135,1407,angry,2020-10-02T02:07:55
